Gene stable ID	Gene stable ID version	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Gene % GC content	Gene type
ENSMUSG00000064351	ENSMUSG00000064351.1	mitochondrially encoded cytochrome c oxidase I [Source:MGI Symbol;Acc:MGI:102504]	MT	5328	6872	mt-Co1	39.87	protein_coding
ENSMUSG00000064352	ENSMUSG00000064352.1	mitochondrially encoded tRNA serine 1 [Source:MGI Symbol;Acc:MGI:102475]	MT	6870	6938	mt-Ts1	37.68	Mt_tRNA
ENSMUSG00000064353	ENSMUSG00000064353.1	mitochondrially encoded tRNA aspartic acid [Source:MGI Symbol;Acc:MGI:102489]	MT	6942	7011	mt-Td	17.14	Mt_tRNA
ENSMUSG00000064354	ENSMUSG00000064354.1	mitochondrially encoded cytochrome c oxidase II [Source:MGI Symbol;Acc:MGI:102503]	MT	7013	7696	mt-Co2	38.60	protein_coding
ENSMUSG00000064355	ENSMUSG00000064355.1	mitochondrially encoded tRNA lysine [Source:MGI Symbol;Acc:MGI:102483]	MT	7700	7764	mt-Tk	33.85	Mt_tRNA
ENSMUSG00000064356	ENSMUSG00000064356.1	mitochondrially encoded ATP synthase 8 [Source:MGI Symbol;Acc:MGI:99926]	MT	7766	7969	mt-Atp8	31.86	protein_coding
ENSMUSG00000064357	ENSMUSG00000064357.1	mitochondrially encoded ATP synthase 6 [Source:MGI Symbol;Acc:MGI:99927]	MT	7927	8607	mt-Atp6	35.98	protein_coding
ENSMUSG00000064358	ENSMUSG00000064358.1	mitochondrially encoded cytochrome c oxidase III [Source:MGI Symbol;Acc:MGI:102502]	MT	8607	9390	mt-Co3	38.90	protein_coding
ENSMUSG00000064359	ENSMUSG00000064359.1	mitochondrially encoded tRNA glycine [Source:MGI Symbol;Acc:MGI:102486]	MT	9391	9458	mt-Tg	30.88	Mt_tRNA
ENSMUSG00000064360	ENSMUSG00000064360.1	mitochondrially encoded NADH dehydrogenase 3 [Source:MGI Symbol;Acc:MGI:102499]	MT	9459	9806	mt-Nd3	33.05	protein_coding
ENSMUSG00000064361	ENSMUSG00000064361.1	mitochondrially encoded tRNA arginine [Source:MGI Symbol;Acc:MGI:102476]	MT	9808	9875	mt-Tr	22.06	Mt_tRNA
ENSMUSG00000065947	ENSMUSG00000065947.1	mitochondrially encoded NADH dehydrogenase 4L [Source:MGI Symbol;Acc:MGI:102497]	MT	9877	10173	mt-Nd4l	41.08	protein_coding
ENSMUSG00000064363	ENSMUSG00000064363.1	mitochondrially encoded NADH dehydrogenase 4 [Source:MGI Symbol;Acc:MGI:102498]	MT	10167	11544	mt-Nd4	35.63	protein_coding
ENSMUSG00000064364	ENSMUSG00000064364.1	mitochondrially encoded tRNA histidine [Source:MGI Symbol;Acc:MGI:102485]	MT	11546	11612	mt-Th	31.34	Mt_tRNA
ENSMUSG00000064365	ENSMUSG00000064365.1	mitochondrially encoded tRNA serine 2 [Source:MGI Symbol;Acc:MGI:102474]	MT	11613	11671	mt-Ts2	32.20	Mt_tRNA
ENSMUSG00000064366	ENSMUSG00000064366.1	mitochondrially encoded tRNA leucine 2 [Source:MGI Symbol;Acc:MGI:102481]	MT	11671	11741	mt-Tl2	30.99	Mt_tRNA
ENSMUSG00000064367	ENSMUSG00000064367.1	mitochondrially encoded NADH dehydrogenase 5 [Source:MGI Symbol;Acc:MGI:102496]	MT	11742	13565	mt-Nd5	37.12	protein_coding
ENSMUSG00000064368	ENSMUSG00000064368.1	mitochondrially encoded NADH dehydrogenase 6 [Source:MGI Symbol;Acc:MGI:102495]	MT	13552	14070	mt-Nd6	34.10	protein_coding
ENSMUSG00000064369	ENSMUSG00000064369.1	mitochondrially encoded tRNA glutamic acid [Source:MGI Symbol;Acc:MGI:102488]	MT	14071	14139	mt-Te	34.78	Mt_tRNA
ENSMUSG00000064370	ENSMUSG00000064370.1	mitochondrially encoded cytochrome b [Source:MGI Symbol;Acc:MGI:102501]	MT	14145	15288	mt-Cytb	39.07	protein_coding
ENSMUSG00000064371	ENSMUSG00000064371.1	mitochondrially encoded tRNA threonine [Source:MGI Symbol;Acc:MGI:102473]	MT	15289	15355	mt-Tt	34.33	Mt_tRNA
ENSMUSG00000064372	ENSMUSG00000064372.1	mitochondrially encoded tRNA proline [Source:MGI Symbol;Acc:MGI:102478]	MT	15356	15422	mt-Tp	44.78	Mt_tRNA
ENSMUSG00002075400	ENSMUSG00002075400.1		GL456239.1	38438	38535		44.90	miRNA
ENSMUSG00000094722	ENSMUSG00000094722.2		JH584298.1	90528	93623		43.80	protein_coding
ENSMUSG00000096776	ENSMUSG00000096776.2	vomeronasal 1 receptor Vmn1r186 [Source:NCBI gene (formerly Entrezgene);Acc:100039479]	GL456219.1	94186	95088	Vmn1r186	43.63	protein_coding
ENSMUSG00000094741	ENSMUSG00000094741.2		GL456354.1	6366	8939		45.92	protein_coding
ENSMUSG00002074899	ENSMUSG00002074899.1		GL456372.1	13262	13382		47.93	miRNA
ENSMUSG00002074970	ENSMUSG00002074970.1		GL456385.1	31243	31343		50.50	miRNA
ENSMUSG00002076890	ENSMUSG00002076890.1		GL456381.1	16623	16721		50.51	miRNA
ENSMUSG00000095019	ENSMUSG00000095019.2		JH584303.1	81607	82689		43.03	protein_coding
ENSMUSG00000095666	ENSMUSG00000095666.2		JH584296.1	41338	44417		43.90	protein_coding
ENSMUSG00000094303	ENSMUSG00000094303.2		JH584297.1	19740	22248		44.04	protein_coding
ENSMUSG00000094915	ENSMUSG00000094915.2		GL456212.1	31967	34932		40.83	protein_coding
ENSMUSG00000095041	ENSMUSG00000095041.8		JH584304.1	52190	59690		52.45	protein_coding
ENSMUSG00000095250	ENSMUSG00000095250.2		GL456211.1	30483	32396		47.75	protein_coding
ENSMUSG00000079800	ENSMUSG00000079800.3		GL456210.1	9124	58882		44.73	protein_coding
ENSMUSG00000079222	ENSMUSG00000079222.3		GL456221.1	17591	30203		45.73	protein_coding
ENSMUSG00000094836	ENSMUSG00000094836.2		JH584299.1	4975	7356		40.81	protein_coding
ENSMUSG00002075729	ENSMUSG00002075729.1		GL456385.1	32719	32818		50.00	miRNA
ENSMUSG00000096244	ENSMUSG00000096244.2	vomeronasal 1 receptor Vmn1r187 [Source:NCBI gene (formerly Entrezgene);Acc:100039499]	GL456219.1	149261	150163		43.30	protein_coding
ENSMUSG00000079808	ENSMUSG00000079808.4		GL456212.1	128555	150452		46.70	protein_coding
ENSMUSG00000095787	ENSMUSG00000095787.2		GL456211.1	54469	54840		50.27	protein_coding
ENSMUSG00000074720	ENSMUSG00000074720.2		GL456354.1	25923	27230		41.59	protein_coding
ENSMUSG00000096236	ENSMUSG00000096236.2		JH584297.1	31101	33667		46.01	protein_coding
ENSMUSG00000095092	ENSMUSG00000095092.2		GL456210.1	108390	110303		47.70	protein_coding
ENSMUSG00000094383	ENSMUSG00000094383.2		JH584299.1	90482	93220		44.32	protein_coding
ENSMUSG00000094874	ENSMUSG00000094874.2		GL456221.1	30394	32306		47.78	protein_coding
ENSMUSG00000096680	ENSMUSG00000096680.2		JH584296.1	130715	133448		44.29	protein_coding
ENSMUSG00000096100	ENSMUSG00000096100.2		GL456211.1	66955	67326		49.73	protein_coding
ENSMUSG00000094337	ENSMUSG00000094337.8		GL456354.1	82993	86051		43.84	protein_coding
ENSMUSG00000079192	ENSMUSG00000079192.3		GL456210.1	123792	124928		46.26	protein_coding
ENSMUSG00000094054	ENSMUSG00000094054.2		GL456211.1	113868	114758		48.48	processed_pseudogene
ENSMUSG00000096756	ENSMUSG00000096756.2		JH584297.1	108318	111392		44.00	protein_coding
ENSMUSG00000095500	ENSMUSG00000095500.2		GL456221.1	32239	47294		43.91	protein_coding
ENSMUSG00000095672	ENSMUSG00000095672.2		GL456211.1	160465	162404		47.84	protein_coding
ENSMUSG00000095505	ENSMUSG00000095505.2		JH584296.1	195181	197903		41.87	protein_coding
ENSMUSG00000079794	ENSMUSG00000079794.3		GL456210.1	135395	136519		45.78	protein_coding
ENSMUSG00000079190	ENSMUSG00000079190.4		GL456211.1	167446	196478		43.84	protein_coding
ENSMUSG00000095450	ENSMUSG00000095450.2		GL456221.1	46295	46666		50.27	protein_coding
ENSMUSG00000094474	ENSMUSG00000094474.2		JH584299.1	173050	176134		43.89	protein_coding
ENSMUSG00000144201	ENSMUSG00000144201.1	novel transcript	JH584304.1	24951	56818		48.78	lncRNA
ENSMUSG00000094799	ENSMUSG00000094799.2		GL456210.1	147792	149707		47.65	protein_coding
ENSMUSG00000094728	ENSMUSG00000094728.2		GL456221.1	58743	59114		50.27	protein_coding
ENSMUSG00000095570	ENSMUSG00000095570.2		GL456354.1	146926	149659		44.26	protein_coding
ENSMUSG00000062783	ENSMUSG00000062783.3	component of Sp100-rs [Source:NCBI gene (formerly Entrezgene);Acc:114564]	GL456221.1	111572	163011	Csprs	43.64	protein_coding
ENSMUSG00000144196	ENSMUSG00000144196.1	novel transcript	GL456210.1	631	156515		44.07	lncRNA
ENSMUSG00000094791	ENSMUSG00000094791.2		JH584299.1	314841	317584		41.47	protein_coding
ENSMUSG00000094514	ENSMUSG00000094514.2		GL456211.1	226405	229375		40.66	protein_coding
ENSMUSG00000096728	ENSMUSG00000096728.2		GL456354.1	158543	161339		46.44	protein_coding
ENSMUSG00000096808	ENSMUSG00000096808.2		GL456221.1	151235	152734		38.27	protein_coding
ENSMUSG00000096550	ENSMUSG00000096550.2	predicted gene 16367 [Source:NCBI gene (formerly Entrezgene);Acc:545762]	JH584299.1	477246	480331	Gm16367	43.88	protein_coding
ENSMUSG00000144204	ENSMUSG00000144204.1	novel transcript	GL456211.1	89064	165170		44.53	lncRNA
ENSMUSG00000144203	ENSMUSG00000144203.1	novel transcript	GL456221.1	147544	163165		44.33	lncRNA
ENSMUSG00000144199	ENSMUSG00000144199.1	novel transcript	GL456221.1	36491	157386		43.41	lncRNA
ENSMUSG00000094172	ENSMUSG00000094172.2		JH584299.1	562161	564894		44.37	protein_coding
ENSMUSG00000094887	ENSMUSG00000094887.2		JH584299.1	587624	625594		39.91	protein_coding
ENSMUSG00000091585	ENSMUSG00000091585.3		JH584299.1	716296	720517		43.13	protein_coding
ENSMUSG00000095763	ENSMUSG00000095763.2		JH584299.1	806210	809281		43.88	protein_coding
ENSMUSG00000095523	ENSMUSG00000095523.2		JH584299.1	837364	840451		43.94	protein_coding
ENSMUSG00000095475	ENSMUSG00000095475.2		JH584299.1	910289	913083		46.08	protein_coding
ENSMUSG00000094855	ENSMUSG00000094855.2		JH584299.1	921942	924675		44.40	protein_coding
ENSMUSG00000100384	ENSMUSG00000100384.2	predicted gene 28489 [Source:MGI Symbol;Acc:MGI:5579195]	Y	31419544	31423014	Gm28489	31.78	unprocessed_pseudogene
ENSMUSG00000100216	ENSMUSG00000100216.2	predicted gene, 21867 [Source:MGI Symbol;Acc:MGI:5434031]	Y	68409633	68410328	Gm21867	45.11	unprocessed_pseudogene
ENSMUSG00000099641	ENSMUSG00000099641.2	predicted gene 29448 [Source:MGI Symbol;Acc:MGI:5580154]	Y	68446562	68447176	Gm29448	45.37	unprocessed_pseudogene
ENSMUSG00000095634	ENSMUSG00000095634.3	predicted gene, 20816 [Source:MGI Symbol;Acc:MGI:5434172]	Y	68549224	68551559	Gm20816	39.81	protein_coding
ENSMUSG00000101393	ENSMUSG00000101393.2	predicted gene 29447 [Source:MGI Symbol;Acc:MGI:5580153]	Y	68678874	68682113	Gm29447	40.25	lncRNA
ENSMUSG00000100885	ENSMUSG00000100885.2	predicted gene 29446 [Source:MGI Symbol;Acc:MGI:5580152]	Y	68714125	68717466	Gm29446	45.45	lncRNA
ENSMUSG00000101120	ENSMUSG00000101120.2	predicted gene 29452 [Source:MGI Symbol;Acc:MGI:5580158]	Y	68718880	68719192	Gm29452	40.58	processed_pseudogene
ENSMUSG00000101216	ENSMUSG00000101216.2	predicted gene 29451 [Source:MGI Symbol;Acc:MGI:5580157]	Y	68755564	68756259	Gm29451	43.39	unprocessed_pseudogene
ENSMUSG00000100032	ENSMUSG00000100032.2	predicted gene, 20817 [Source:MGI Symbol;Acc:MGI:5434173]	Y	68817865	68843997	Gm20817	35.59	protein_coding
ENSMUSG00000101080	ENSMUSG00000101080.2	predicted gene 28633 [Source:MGI Symbol;Acc:MGI:5579339]	Y	68910098	68912594	Gm28633	40.01	lncRNA
ENSMUSG00000094444	ENSMUSG00000094444.3	predicted gene, 21562 [Source:MGI Symbol;Acc:MGI:5434917]	Y	31691308	31691835	Gm21562	50.95	lncRNA
ENSMUSG00000100308	ENSMUSG00000100308.2	predicted gene 29410 [Source:MGI Symbol;Acc:MGI:5580116]	Y	68962559	68963252	Gm29410	45.68	unprocessed_pseudogene
ENSMUSG00000101423	ENSMUSG00000101423.7	predicted gene 28298 [Source:MGI Symbol;Acc:MGI:5579004]	Y	31732883	31735247	Gm28298	40.80	lncRNA
ENSMUSG00000095626	ENSMUSG00000095626.3	predicted gene, 21572 [Source:MGI Symbol;Acc:MGI:5434927]	Y	31757555	31758082	Gm21572	50.95	lncRNA
ENSMUSG00000101761	ENSMUSG00000101761.7	predicted gene 28297 [Source:MGI Symbol;Acc:MGI:5579003]	Y	31795357	31797635	Gm28297	41.29	lncRNA
ENSMUSG00000099493	ENSMUSG00000099493.2	predicted gene, 21753 [Source:MGI Symbol;Acc:MGI:5433917]	Y	32079749	32080444	Gm21753	45.11	unprocessed_pseudogene
ENSMUSG00000096777	ENSMUSG00000096777.3	predicted gene, 21723 [Source:MGI Symbol;Acc:MGI:5433887]	Y	32115184	32115711	Gm21723	50.95	lncRNA
ENSMUSG00000102119	ENSMUSG00000102119.7	predicted gene 28462 [Source:MGI Symbol;Acc:MGI:5579168]	Y	69011221	69012780	Gm28462	38.91	lncRNA
ENSMUSG00000100739	ENSMUSG00000100739.7	predicted gene 28296 [Source:MGI Symbol;Acc:MGI:5579002]	Y	32136979	32139342	Gm28296	41.03	lncRNA
ENSMUSG00000095345	ENSMUSG00000095345.3	predicted gene, 21821 [Source:MGI Symbol;Acc:MGI:5433985]	Y	32176464	32176992	Gm21821	50.28	lncRNA
ENSMUSG00000100709	ENSMUSG00000100709.7	predicted gene 28295 [Source:MGI Symbol;Acc:MGI:5579001]	Y	32199403	32201766	Gm28295	41.03	lncRNA
ENSMUSG00000100976	ENSMUSG00000100976.2	predicted gene 29134 [Source:MGI Symbol;Acc:MGI:5579840]	Y	69681445	69681929	Gm29134	31.13	unprocessed_pseudogene
ENSMUSG00000100489	ENSMUSG00000100489.2	predicted gene 28303 [Source:MGI Symbol;Acc:MGI:5579009]	Y	69747529	69748275	Gm28303	44.04	unprocessed_pseudogene
ENSMUSG00000101239	ENSMUSG00000101239.2	predicted gene 28304 [Source:MGI Symbol;Acc:MGI:5579010]	Y	69776073	69776384	Gm28304	40.71	processed_pseudogene
ENSMUSG00000100971	ENSMUSG00000100971.2	predicted gene 28824 [Source:MGI Symbol;Acc:MGI:5579530]	Y	69777798	69781141	Gm28824	45.19	lncRNA
ENSMUSG00000100509	ENSMUSG00000100509.2	predicted gene, 21810 [Source:MGI Symbol;Acc:MGI:5433974]	Y	33060550	33061245	Gm21810	45.11	unprocessed_pseudogene
ENSMUSG00000095553	ENSMUSG00000095553.3	predicted gene, 21916 [Source:MGI Symbol;Acc:MGI:5434080]	Y	33096043	33096570	Gm21916	50.95	lncRNA
ENSMUSG00000101099	ENSMUSG00000101099.7	predicted gene 29191 [Source:MGI Symbol;Acc:MGI:5579897]	Y	33118945	33121306	Gm29191	40.77	lncRNA
ENSMUSG00000101601	ENSMUSG00000101601.2	predicted gene 28210 [Source:MGI Symbol;Acc:MGI:5578916]	Y	33245210	33245656	Gm28210	45.41	lncRNA
ENSMUSG00000101516	ENSMUSG00000101516.7	predicted gene 29074 [Source:MGI Symbol;Acc:MGI:5579780]	Y	33277090	33280321	Gm29074	40.44	lncRNA
ENSMUSG00000101359	ENSMUSG00000101359.2	predicted gene 28211 [Source:MGI Symbol;Acc:MGI:5578917]	Y	33292586	33296052	Gm28211	31.76	unprocessed_pseudogene
ENSMUSG00000100790	ENSMUSG00000100790.7	predicted gene 28518 [Source:MGI Symbol;Acc:MGI:5579224]	Y	33338010	33341245	Gm28518	40.39	lncRNA
ENSMUSG00000101302	ENSMUSG00000101302.7	predicted gene 28519 [Source:MGI Symbol;Acc:MGI:5579225]	Y	33366948	33370180	Gm28519	40.46	lncRNA
ENSMUSG00000102125	ENSMUSG00000102125.7	predicted gene 28520 [Source:MGI Symbol;Acc:MGI:5579226]	Y	33401372	33404604	Gm28520	40.46	lncRNA
ENSMUSG00000094064	ENSMUSG00000094064.3	predicted gene, 21626 [Source:MGI Symbol;Acc:MGI:5434981]	Y	33591015	33591542	Gm21626	50.95	lncRNA
ENSMUSG00000101421	ENSMUSG00000101421.2	predicted gene 28433 [Source:MGI Symbol;Acc:MGI:5579139]	Y	70569681	70569995	Gm28433	40.63	processed_pseudogene
ENSMUSG00000099461	ENSMUSG00000099461.7	predicted gene 28521 [Source:MGI Symbol;Acc:MGI:5579227]	Y	33632972	33635336	Gm28521	40.72	lncRNA
ENSMUSG00000101706	ENSMUSG00000101706.2	predicted gene 28431 [Source:MGI Symbol;Acc:MGI:5579137]	Y	70571399	70574741	Gm28431	45.32	lncRNA
ENSMUSG00000096532	ENSMUSG00000096532.3	predicted gene, 21633 [Source:MGI Symbol;Acc:MGI:5434988]	Y	33657681	33658208	Gm21633	50.95	lncRNA
ENSMUSG00000101627	ENSMUSG00000101627.2	predicted gene 28432 [Source:MGI Symbol;Acc:MGI:5579138]	Y	70606727	70609965	Gm28432	40.29	lncRNA
ENSMUSG00000101681	ENSMUSG00000101681.7	predicted gene 28522 [Source:MGI Symbol;Acc:MGI:5579228]	Y	33695556	33697834	Gm28522	41.25	lncRNA
ENSMUSG00000101870	ENSMUSG00000101870.2	predicted gene, 21745 [Source:MGI Symbol;Acc:MGI:5433909]	Y	33983534	33984229	Gm21745	45.11	unprocessed_pseudogene
ENSMUSG00000101472	ENSMUSG00000101472.2	predicted gene 28517 [Source:MGI Symbol;Acc:MGI:5579223]	Y	34019043	34019570	Gm28517	50.95	lncRNA
ENSMUSG00000101407	ENSMUSG00000101407.7	predicted gene 29532 [Source:MGI Symbol;Acc:MGI:5580238]	Y	34041726	34044090	Gm29532	40.80	lncRNA
ENSMUSG00000099500	ENSMUSG00000099500.2	predicted gene 29531 [Source:MGI Symbol;Acc:MGI:5580237]	Y	34081254	34081781	Gm29531	50.95	lncRNA
ENSMUSG00000100097	ENSMUSG00000100097.7	predicted gene 28464 [Source:MGI Symbol;Acc:MGI:5579170]	Y	34104200	34106563	Gm28464	41.03	lncRNA
ENSMUSG00000099806	ENSMUSG00000099806.2	predicted gene 28841 [Source:MGI Symbol;Acc:MGI:5579547]	Y	70858526	70859220	Gm28841	44.89	unprocessed_pseudogene
ENSMUSG00000101474	ENSMUSG00000101474.2	predicted gene 29656 [Source:MGI Symbol;Acc:MGI:5580362]	Y	34141780	34142307	Gm29656	50.95	lncRNA
ENSMUSG00000099704	ENSMUSG00000099704.2	predicted gene 28842 [Source:MGI Symbol;Acc:MGI:5579548]	Y	70901967	70905206	Gm28842	39.97	lncRNA
ENSMUSG00000099737	ENSMUSG00000099737.7	predicted gene 29655 [Source:MGI Symbol;Acc:MGI:5580361]	Y	34164715	34167078	Gm29655	40.86	lncRNA
ENSMUSG00000099914	ENSMUSG00000099914.2	predicted gene 28837 [Source:MGI Symbol;Acc:MGI:5579543]	Y	71055755	71056450	Gm28837	43.53	unprocessed_pseudogene
ENSMUSG00000101417	ENSMUSG00000101417.2	predicted gene, 21647 [Source:MGI Symbol;Acc:MGI:5435002]	Y	34240427	34271956	Gm21647	37.44	unprocessed_pseudogene
ENSMUSG00000101654	ENSMUSG00000101654.2	predicted gene 29653 [Source:MGI Symbol;Acc:MGI:5580359]	Y	34290974	34291420	Gm29653	45.64	lncRNA
ENSMUSG00000099369	ENSMUSG00000099369.2	predicted gene 28838 [Source:MGI Symbol;Acc:MGI:5579544]	Y	71092740	71093054	Gm28838	40.00	processed_pseudogene
ENSMUSG00000101808	ENSMUSG00000101808.2	predicted gene 29654 [Source:MGI Symbol;Acc:MGI:5580360]	Y	34366261	34369610	Gm29654	45.37	lncRNA
ENSMUSG00000101893	ENSMUSG00000101893.2	predicted gene 28839 [Source:MGI Symbol;Acc:MGI:5579545]	Y	71094465	71097812	Gm28839	45.19	lncRNA
ENSMUSG00000099910	ENSMUSG00000099910.2	predicted gene 29651 [Source:MGI Symbol;Acc:MGI:5580357]	Y	34375474	34376170	Gm29651	45.77	unprocessed_pseudogene
ENSMUSG00000099818	ENSMUSG00000099818.2	predicted gene 29652 [Source:MGI Symbol;Acc:MGI:5580358]	Y	34412574	34413188	Gm29652	45.37	unprocessed_pseudogene
ENSMUSG00000100500	ENSMUSG00000100500.2	predicted gene 29080 [Source:MGI Symbol;Acc:MGI:5579786]	Y	34424335	34425874	Gm29080	38.90	lncRNA
ENSMUSG00000101255	ENSMUSG00000101255.2	predicted gene, 21841 [Source:MGI Symbol;Acc:MGI:5434005]	Y	71375583	71376278	Gm21841	45.55	unprocessed_pseudogene
ENSMUSG00000099463	ENSMUSG00000099463.7	predicted gene 29081 [Source:MGI Symbol;Acc:MGI:5579787]	Y	34625479	34628719	Gm29081	40.11	lncRNA
ENSMUSG00000100745	ENSMUSG00000100745.2	predicted gene 29077 [Source:MGI Symbol;Acc:MGI:5579783]	Y	34660686	34664033	Gm29077	45.43	lncRNA
ENSMUSG00000101341	ENSMUSG00000101341.2	predicted gene 29076 [Source:MGI Symbol;Acc:MGI:5579782]	Y	34669893	34670589	Gm29076	45.48	unprocessed_pseudogene
ENSMUSG00000100193	ENSMUSG00000100193.2	predicted gene 29079 [Source:MGI Symbol;Acc:MGI:5579785]	Y	34706715	34707329	Gm29079	45.37	unprocessed_pseudogene
ENSMUSG00000099651	ENSMUSG00000099651.2	predicted gene 29078 [Source:MGI Symbol;Acc:MGI:5579784]	Y	34718477	34720020	Gm29078	39.05	lncRNA
ENSMUSG00000100535	ENSMUSG00000100535.2	predicted gene, 20870 [Source:MGI Symbol;Acc:MGI:5434226]	Y	71703312	71729495	Gm20870	35.52	protein_coding
ENSMUSG00000099390	ENSMUSG00000099390.7	predicted gene 29225 [Source:MGI Symbol;Acc:MGI:5579931]	Y	34919203	34922440	Gm29225	40.24	lncRNA
ENSMUSG00000099738	ENSMUSG00000099738.2	predicted gene 28483 [Source:MGI Symbol;Acc:MGI:5579189]	Y	71791138	71791833	Gm28483	43.10	unprocessed_pseudogene
ENSMUSG00000100422	ENSMUSG00000100422.2	predicted gene 29226 [Source:MGI Symbol;Acc:MGI:5579932]	Y	34954443	34957786	Gm29226	45.25	lncRNA
ENSMUSG00000101988	ENSMUSG00000101988.2	predicted gene 28484 [Source:MGI Symbol;Acc:MGI:5579190]	Y	71828169	71828480	Gm28484	40.38	unprocessed_pseudogene
ENSMUSG00000100385	ENSMUSG00000100385.2	predicted gene 29227 [Source:MGI Symbol;Acc:MGI:5579933]	Y	34959198	34959512	Gm29227	40.95	processed_pseudogene
ENSMUSG00000101626	ENSMUSG00000101626.7	predicted gene 29386 [Source:MGI Symbol;Acc:MGI:5580092]	Y	35146091	35149331	Gm29386	39.96	lncRNA
ENSMUSG00000101091	ENSMUSG00000101091.2	predicted gene 29384 [Source:MGI Symbol;Acc:MGI:5580090]	Y	35181234	35184581	Gm29384	45.46	lncRNA
ENSMUSG00000100229	ENSMUSG00000100229.2	predicted gene, 21896 [Source:MGI Symbol;Acc:MGI:5434060]	Y	35190684	35191379	Gm21896	44.97	unprocessed_pseudogene
ENSMUSG00000101691	ENSMUSG00000101691.2	predicted gene 29280 [Source:MGI Symbol;Acc:MGI:5579986]	Y	35227068	35227682	Gm29280	45.20	unprocessed_pseudogene
ENSMUSG00000100244	ENSMUSG00000100244.2	predicted gene 29279 [Source:MGI Symbol;Acc:MGI:5579985]	Y	35305688	35306383	Gm29279	45.26	unprocessed_pseudogene
ENSMUSG00000100694	ENSMUSG00000100694.2	predicted gene 29182 [Source:MGI Symbol;Acc:MGI:5579888]	Y	72283195	72286433	Gm29182	40.29	lncRNA
ENSMUSG00000099799	ENSMUSG00000099799.7	predicted gene 28260 [Source:MGI Symbol;Acc:MGI:5578966]	Y	35413791	35417030	Gm28260	40.00	lncRNA
ENSMUSG00000101806	ENSMUSG00000101806.2	predicted gene 28261 [Source:MGI Symbol;Acc:MGI:5578967]	Y	35495302	35495916	Gm28261	45.04	unprocessed_pseudogene
ENSMUSG00000101632	ENSMUSG00000101632.2	predicted gene 28264 [Source:MGI Symbol;Acc:MGI:5578970]	Y	35507028	35508611	Gm28264	39.14	lncRNA
